,ERR2731369
ASPM,2.505288065678525
LINC01756,0.10538637296146477
LINC01648,0.0
ZNF226,15.272528093942082
AMFR,90.11103339291546
LINC01778,0.0
VPS52,6.614909294328144
ZNF717,4.39773345178429
DCP1A,19.643202343072474
SNORD103A,0.0
SNORD103B,0.0
SNORD103C,0.0
N4BP2L1,28.825865842881715
LCP1,37.5936884760752
WDR25,15.836383696926129
STING1,132.90105516149416
HLTF,12.9204668147823
LINC01226,0.0
ABHD18,5.2079879118086065
ATP8A1,0.162817019267245
TMEM39A,40.693667226145486
TMEM170B,5.041192887864448
DEFB131B,3.188308860862343
OR6M1,0.0
OR10V1,0.0
OR51I1,0.0
OR2A1,0.0
GOSR1,23.464946102590957
BEST1,10.051500584114157
ASNS,0.9188196160963787
CNTROB,35.48501591630035
SLC39A8,22.31656919896186
SPOCD1,31.224423590295352
SLC39A7,55.6387203189587
CCN6,0.32795353729985705
CLIP1,49.40553805454956
TACC1,23.041436654427333
FBXL16,0.1929837417913268
TMEM150A,48.30186385707696
IFNL2,0.0
SLC9C1,0.027458749286902756
TMEM39B,34.170982047764454
C11orf54,13.073602474289158
TNPO1,46.49339451493474
QRICH1,83.36681403642773
SRPX,557.9548883568639
SMC1A,18.41962766666172
JUP,119.44390678811621
GPN3,47.802040021347395
SLC25A24,14.97129515979346
CASP12,2.6661629341254924
MTMR9LP,60.342586527796776
RWDD2A,15.361026011334191
TBC1D14,9.354997999530621
DGUOK,89.49508825722903
GPR108,82.4843128087181
CALU,395.4529343469136
FAM89B,144.86957398955562
RPP14,2.7999279089207154
SLC39A4,5.570928627833301
FDFT1,22.513067768443133
LRTOMT,4.912609553784795
KY,0.1074370807409712
IAH1,41.10503876469773
INKA1,16.654515598463895
GOLGA8Q,0.0
CPNE6,0.0
COX7A2,211.73608052573437
TRIM60,0.0
SPOCK3,0.0
CABYR,7.81560071425199
BCL2L12,22.64888208907228
S100PBP,30.531491786772225
KIDINS220,25.059108815204336
FAM133B,14.23335021206506
ZNF154,1.7206343244338183
TTC23,14.752683373142704
